OT Fans,Gen Pop Average,OT Index,Data Category,Data Value,Source
0.568,0.8182,69.42067954,Ethnicity,White or Caucasian,Overtime x Knit Proprietary Research 2024
0.3163,0.1074,294.5065177,Ethnicity,Black or African-American,Overtime x Knit Proprietary Research 2024
0.0306,0.0661,46.2934947,Ethnicity,Asian,Overtime x Knit Proprietary Research 2024
0.1905,0.0496,384.0725806,Ethnicity,Hispanic or Latino,Overtime x Knit Proprietary Research 2024
0.017,0.0166,102.4096386,Ethnicity,Other,Overtime x Knit Proprietary Research 2024
0.43,0.18,238.8888889,Ethnicity,Multicultural (Non-White),Overtime x Knit Proprietary Research 2024
0.1949,0.3223,60.4716103,Household Income,Under $25K,Overtime x Knit Proprietary Research 2024
0.2881,0.281,102.5266904,Household Income,$25K-$49K,Overtime x Knit Proprietary Research 2024
0.2331,0.1983,117.5491679,Household Income,$50K-$74K,Overtime x Knit Proprietary Research 2024
0.1398,0.0826,169.2493947,Household Income,$75K-$99K,Overtime x Knit Proprietary Research 2024
0.0932,0.0744,125.2688172,Household Income,$100K-$149K,Overtime x Knit Proprietary Research 2024
0.0508,0.0413,123.0024213,Household Income,More than $150K,Overtime x Knit Proprietary Research 2024
0.7161,0.8016,89.33383234,Household Income,Under $75K,Overtime x Knit Proprietary Research 2024
0.2838,0.1983,143.1164902,Household Income,More than $75K,Overtime x Knit Proprietary Research 2024
0.144,0.1157,124.4598099,Household Income,More than $100K,Overtime x Knit Proprietary Research 2024
0.572,0.281,203.5587189,Employment,Employed Full Time,Overtime x Knit Proprietary Research 2024
0.178,0.1157,153.8461538,Employment,Employed Part Time,Overtime x Knit Proprietary Research 2024
0.1441,0.3636,39.63146315,Employment,Unemployed,Overtime x Knit Proprietary Research 2024
0.3673,0.4215,87.14116251,Home Ownership/Living Situation,Rent their home,Overtime x Knit Proprietary Research 2024
0.4388,0.4298,102.0939972,Home Ownership/Living Situation,Own their home,Overtime x Knit Proprietary Research 2024
0.1224,0.2397,51.06382979,Home Ownership/Living Situation,Live with significant other,Overtime x Knit Proprietary Research 2024
0.2551,0.1653,154.3254688,Home Ownership/Living Situation,Live with family (parent/guardian and/or siblings),Overtime x Knit Proprietary Research 2024
0.3299,0.2314,142.5669836,Home Ownership/Living Situation,Live with sig. other & have child/ children,Overtime x Knit Proprietary Research 2024
0.068,0.0331,205.4380665,Home Ownership/Living Situation,Live with roommates,Overtime x Knit Proprietary Research 2024
0.1599,0.2066,77.39593417,Home Ownership/Living Situation,Live on their own,Overtime x Knit Proprietary Research 2024
0.0374,0,0,Home Ownership/Living Situation,Live in student residence/dorm,Overtime x Knit Proprietary Research 2024
0.2959,0.2479,119.3626462,Students/Highest Degree,Current Student,Overtime x Knit Proprietary Research 2024
0.3537,0.4215,83.91459075,Students/Highest Degree,HS/GED,Overtime x Knit Proprietary Research 2024
0.2586,0.2562,100.9367681,Students/Highest Degree,Associate's / Bachelor's,Overtime x Knit Proprietary Research 2024
0.0918,0.0744,123.3870968,Students/Highest Degree,Master's/Doctorate/JD/MD/PhD,Overtime x Knit Proprietary Research 2024
0.4873,0.3884,125.4634398,Relationship Status/Children,Single,Overtime x Knit Proprietary Research 2024
0.1653,0.1157,142.8694901,Relationship Status/Children,In a Relationship,Overtime x Knit Proprietary Research 2024
0.2797,0.3554,78.70005627,Relationship Status/Children,Married,Overtime x Knit Proprietary Research 2024
0.0169,0.0165,102.4242424,Relationship Status/Children,Engaged,Overtime x Knit Proprietary Research 2024
0.0212,0.0579,36.6148532,Relationship Status/Children,Domestic Partners,Overtime x Knit Proprietary Research 2024
0.0127,0.0579,21.9343696,Relationship Status/Children,Legally Separated,Overtime x Knit Proprietary Research 2024
0.4957,0.2645,187.4102079,Relationship Status/Children,Has kids under 18,Overtime x Knit Proprietary Research 2024
0.3906,0.5656,69.05940594,Relationship Status/Children,Has kids above 18,Overtime x Knit Proprietary Research 2024
0.9558,0.9752,98.01066448,Languages,English,Overtime x Knit Proprietary Research 2024
0.2313,0.0579,399.4818653,Languages,Spanish,Overtime x Knit Proprietary Research 2024
0.017,0.0083,204.8192771,Languages,Arabic,Overtime x Knit Proprietary Research 2024
