League_Primary,League_Secondary,Overlap_Percentage,Source
NBA,NFL,0.917,Overtime Audience Study on Sports Fandom 2024
NBA,NCAAF,0.642,Overtime Audience Study on Sports Fandom 2024
NBA,NCAAB,0.6,Overtime Audience Study on Sports Fandom 2024
NBA,MLB,0.666,Overtime Audience Study on Sports Fandom 2024
NBA,NHL,0.442,Overtime Audience Study on Sports Fandom 2024
NBA,WNBA,0.554,Overtime Audience Study on Sports Fandom 2024
NFL,NBA,0.866,Overtime Audience Study on Sports Fandom 2024
NFL,NCAAF,0.638,Overtime Audience Study on Sports Fandom 2024
NFL,NCAAB,0.544,Overtime Audience Study on Sports Fandom 2024
NFL,MLB,0.678,Overtime Audience Study on Sports Fandom 2024
NFL,NHL,0.425,Overtime Audience Study on Sports Fandom 2024
NFL,WNBA,0.517,Overtime Audience Study on Sports Fandom 2024
NCAAF,NBA,0.875,Overtime Audience Study on Sports Fandom 2024
NCAAF,NFL,0.921,Overtime Audience Study on Sports Fandom 2024
NCAAF,NCAAB,0.728,Overtime Audience Study on Sports Fandom 2024
NCAAF,MLB,0.693,Overtime Audience Study on Sports Fandom 2024
NCAAF,NHL,0.5,Overtime Audience Study on Sports Fandom 2024
NCAAF,WNBA,0.573,Overtime Audience Study on Sports Fandom 2024
NCAAB,NBA,0.923,Overtime Audience Study on Sports Fandom 2024
NCAAB,NFL,0.885,Overtime Audience Study on Sports Fandom 2024
NCAAB,NCAAF,0.82,Overtime Audience Study on Sports Fandom 2024
NCAAB,MLB,0.744,Overtime Audience Study on Sports Fandom 2024
NCAAB,NHL,0.526,Overtime Audience Study on Sports Fandom 2024
NCAAB,WNBA,0.603,Overtime Audience Study on Sports Fandom 2024
MLB,NBA,0.861,Overtime Audience Study on Sports Fandom 2024
MLB,NFL,0.925,Overtime Audience Study on Sports Fandom 2024
MLB,NCAAF,0.656,Overtime Audience Study on Sports Fandom 2024
MLB,NCAAB,0.624,Overtime Audience Study on Sports Fandom 2024
MLB,NHL,0.516,Overtime Audience Study on Sports Fandom 2024
MLB,WNBA,0.588,Overtime Audience Study on Sports Fandom 2024
NHL,NBA,0.855,Overtime Audience Study on Sports Fandom 2024
NHL,NFL,0.871,Overtime Audience Study on Sports Fandom 2024
NHL,NCAAF,0.709,Overtime Audience Study on Sports Fandom 2024
NHL,NCAAB,0.662,Overtime Audience Study on Sports Fandom 2024
NHL,MLB,0.774,Overtime Audience Study on Sports Fandom 2024
NHL,WNBA,0.542,Overtime Audience Study on Sports Fandom 2024
WNBA,NBA,0.939,Overtime Audience Study on Sports Fandom 2024
WNBA,NFL,0.892,Overtime Audience Study on Sports Fandom 2024
WNBA,NCAAF,0.723,Overtime Audience Study on Sports Fandom 2024
WNBA,NCAAB,0.677,Overtime Audience Study on Sports Fandom 2024
WNBA,MLB,0.77,Overtime Audience Study on Sports Fandom 2024
WNBA,NHL,0.493,Overtime Audience Study on Sports Fandom 2024
